node,PC1,degree,influence_score
273,15.630801900593204,1367,4.648625797026574
136,16.343684362965224,1026,4.637095283835498
1028,15.783899855229082,1244,4.632703819117593
370,16.107140170925376,1099,4.630019537728157
140,15.756635517885885,1245,4.628958702192976
458,15.701687095995492,1261,4.626000142891262
195,15.856335268161317,1143,4.608681748042489
1139,15.62554621684311,1068,4.5462487738122235
566,15.977418424706109,924,4.539252111152948
292,16.226775376844742,834,4.534364002642388
76,16.252654197156158,815,4.528751308504583
588,15.837304311499588,829,4.473666499030343
353,16.217783620228516,705,4.463892094285068
416,15.77923483990876,791,4.445680928096059
734,16.101277200211083,686,4.43523743123515
823,15.304007373575615,908,4.431393871013787
851,16.084918807156107,666,4.420621959882572
444,16.516866685055426,542,4.400470553312015
478,16.038182100384766,607,4.37548467491144
175,16.28146807022275,496,4.328816687638907
520,16.03222978965147,540,4.326500366094304
516,15.92747954433066,552,4.319877956927386
188,16.161871699378217,468,4.287051418634118
95,15.395904347223114,597,4.272636782025322
213,15.791350856634317,514,4.270202225960412
639,16.00839708596372,463,4.25969283443049
241,15.950233505677758,459,4.247431277935803
155,15.58208578636096,497,4.225091421422925
530,15.509303700157574,486,4.205010233760722
443,15.39090338061258,505,4.203075523921234
3161,15.988002377972697,405,4.201639121841285
93,15.65082170815996,455,4.19907348086959
134,15.990183470401364,396,4.192731123201073
232,15.96619994621833,399,4.192246813338262
652,15.10238973834528,538,4.1859694758982915
1824,14.74675555295625,609,4.183777314488651
423,16.073168489834618,364,4.170519181646618
893,14.658935607320906,591,4.158310693800162
1672,15.53945501927376,424,4.153423887129671
106,15.547719342203305,422,4.152716308474645
613,15.78279012443376,386,4.151218277517499
802,15.645252234444214,405,4.150400129903743
286,14.088465720961716,711,4.149058434633506
308,15.498495229552882,421,4.144382643727166
343,14.822093695804126,537,4.143302031530554
4063,15.106456089414158,479,4.1388231996236655
72,15.72841738394853,377,4.133397109779242
265,16.333484658998067,302,4.1327491023684235
78,15.869048574038793,339,4.110777789695067
127,14.868856871082237,481,4.105016395649182
647,14.552733454447852,539,4.104562846641848
526,16.16008477730675,292,4.093002647959277
1031,15.176491481980326,417,4.092321988884494
915,14.981550466367135,446,4.090810248755103
481,16.00583282131454,304,4.086477250632121
585,15.905658235173252,308,4.076868948120976
400,15.849945984081408,312,4.073838452189642
3237,15.163000416975876,397,4.07010874458506
1528,15.319381843275757,365,4.058959832977673
314,15.607412243499478,322,4.0505358460336325
448,15.753617870663748,305,4.050121063338526
581,15.805905560916733,299,4.049780559999439
815,15.717208418590342,306,4.046022042300918
403,15.737574947555652,300,4.040936360593429
1061,15.4842199959623,327,4.0384470667968095
499,15.99424169019662,269,4.03453506565309
215,15.842301928196354,282,4.0311917435506395
471,15.661897800942242,297,4.025496948025059
383,15.115451658116127,361,4.023946865448609
