node,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
0,-2.092660208419681,-1.1135024699533307,-0.1334598574541455,-0.3980152210424133,-0.17433106464097392,-0.06583457973405629,0.025656285544848247,0.002388355210064529,0.0025104541856608743,-0.0008103170024620495,2.584639076615076e-05,0.00010335730148838883,5.655879498565731e-05,-2.7089392887992936e-06,0.00027564821247708635,-0.00024078116585082472,-0.00016384348371343044,0.00022041366321167306,-0.00014229289724367356,0.00014902219081997883
1,6.128694528849148,-0.1635687925679854,-0.2593915818950927,0.14881640206589852,-0.46099133669977227,0.03005330235627416,-0.06730261900234831,0.049424801502473914,-0.0178977494948689,-0.06393423316733894,0.02833852216357867,0.04897835471258102,0.0192278663382694,-0.009746247671894226,0.007023532409187972,0.014685784250812068,0.032965004721395935,-0.0003628157601092624,0.03673044804430626,-0.014669771558715152
10,-1.589063325731049,-0.02593621970526851,-0.2080284507786067,0.5240563167788034,0.15882524582451688,-0.1689028028406259,0.1433592577628046,-0.1682394107254832,0.28581932344914346,-0.16989862145994505,0.10057937039770201,-0.02313783351681989,0.005519450231613222,-0.0010107115857852468,0.00024001355352921128,-0.0008495677155166099,-0.0002619481484088419,-0.0005315393943036664,-0.00012867855917063665,2.5032718594853805e-05
100,-1.0368761542960034,1.2053514587655225,0.1889969404453487,1.2907092166079832,0.3822376136022199,-0.47139334792353954,0.5907043902195235,0.0306132092009345,0.3048475559191067,-0.2456485570023449,0.15291215792793322,-0.03544844754656358,0.007983155947599378,-0.002072019872514079,-0.0004399714067496675,-0.0004998538117265934,-0.0001904450739849299,-0.0003358288812480388,-0.00019231285309105929,-0.0003926854504805085
1000,10.142225118400422,0.10398973188109094,-0.041461091551314055,-0.3418462359949145,0.060961467356386474,-0.02765389697189954,-0.02300688627462734,-0.03206002492665972,0.06993896565216505,0.09081508999087821,-0.1284652383745802,-0.003620134358061109,0.02648464282386457,0.021581013025595456,0.04857369429669856,0.04215812201186136,-0.10743915635502707,0.05178190847389851,-0.03195706610402396,0.03274210388176735
10000,-2.040195876146049,-0.9535358816962297,0.3848241626580652,-0.5559084805958749,-0.22604336805378505,-0.09362024534294347,0.042862330879773175,0.012875428810896246,-0.003936211037045081,0.00031830713694074703,-6.755958807745737e-05,0.00017186359833121288,-0.00021594788435421055,0.0001531803987524131,0.0001199395775873301,5.131515163428851e-05,-0.00022545350040470741,7.44468760503257e-05,-8.563044340252937e-05,-4.843734661479563e-06
10001,-1.967082772946729,-0.7599276139494564,0.42182462304872886,-0.3408247972450105,-0.0037123186587634943,0.08992985082339609,-0.09760314998265289,-0.06257022406321902,0.028642185763351376,-0.00610794087213358,0.0024537236540927423,-0.0007932605338036851,0.00018518648610994624,0.00015153174599430867,0.0003458990873954125,-0.00027997932368333987,-0.00031116141271412027,-5.18620091530904e-05,-2.18601328051158e-05,2.9163427074328303e-05
10002,-1.967082772946729,-0.7599276139494564,0.42182462304872886,-0.3408247972450105,-0.0037123186587634943,0.08992985082339609,-0.09760314998265289,-0.06257022406321902,0.028642185763351376,-0.00610794087213358,0.0024537236540927423,-0.0007932605338036851,0.00018518648610994624,0.00015153174599430867,0.0003458990873954125,-0.00027997932368333987,-0.00031116141271412027,-5.18620091530904e-05,-2.18601328051158e-05,2.9163427074328303e-05
10003,-1.832824796667431,-0.46629502124401334,0.38439650026526906,-0.07009751709790558,0.07952074401731157,-0.04281733882837257,0.18030743989666728,0.2094397721942773,-0.13546471863481357,0.03832106989807405,-0.01810796408844742,0.0036132145351435445,-0.000969428912695429,-0.00027156548996797996,-5.588023549670817e-05,0.00011157770294175189,-0.0001451374452114022,0.0007471799875700861,-0.00012359802961925715,-0.0001232819083946309
10004,-1.832824796667431,-0.46629502124401334,0.38439650026526906,-0.07009751709790558,0.07952074401731157,-0.04281733882837257,0.18030743989666728,0.2094397721942773,-0.13546471863481357,0.03832106989807405,-0.01810796408844742,0.0036132145351435445,-0.000969428912695429,-0.00027156548996797996,-5.588023549670817e-05,0.00011157770294175189,-0.0001451374452114022,0.0007471799875700861,-0.00012359802961925715,-0.0001232819083946309
10005,-2.040195876146049,-0.9535358816962297,0.3848241626580652,-0.5559084805958749,-0.22604336805378505,-0.09362024534294347,0.042862330879773175,0.012875428810896246,-0.003936211037045081,0.00031830713694074703,-6.755958807745737e-05,0.00017186359833121288,-0.00021594788435421055,0.0001531803987524131,0.0001199395775873301,5.131515163428851e-05,-0.00022545350040470741,7.44468760503257e-05,-8.563044340252937e-05,-4.843734661479563e-06
10006,-2.040195876146049,-0.9535358816962297,0.3848241626580652,-0.5559084805958749,-0.22604336805378505,-0.09362024534294347,0.042862330879773175,0.012875428810896246,-0.003936211037045081,0.00031830713694074703,-6.755958807745737e-05,0.00017186359833121288,-0.00021594788435421055,0.0001531803987524131,0.0001199395775873301,5.131515163428851e-05,-0.00022545350040470741,7.44468760503257e-05,-8.563044340252937e-05,-4.843734661479563e-06
10007,-2.040195876146049,-0.9535358816962297,0.3848241626580652,-0.5559084805958749,-0.22604336805378505,-0.09362024534294347,0.042862330879773175,0.012875428810896246,-0.003936211037045081,0.00031830713694074703,-6.755958807745737e-05,0.00017186359833121288,-0.00021594788435421055,0.0001531803987524131,0.0001199395775873301,5.131515163428851e-05,-0.00022545350040470741,7.44468760503257e-05,-8.563044340252937e-05,-4.843734661479563e-06
10008,-1.947937411777266,-0.7092294483784929,0.43151354537068903,-0.28450308992827034,0.05450718035838392,0.13799418854154843,-0.1343853715718803,-0.08232638554091028,0.037173148693009535,-0.007790715008567914,0.0031139456412551106,-0.0010459874633762516,0.0002902273346577901,0.00015110003059562875,0.0004050687332680157,-0.00036673193170918726,-0.00033360484438970143,-8.493719158022676e-05,-5.161270701731574e-06,3.806852568579801e-05
10009,-1.1822734880821817,0.9633666770608473,0.3117839093181663,1.1841960259815503,0.6205192338589408,-0.09108886821799936,0.33316384105289615,0.08891118649577841,0.12473458910161032,-0.1309047593583227,0.08413371406153106,-0.020411166989820734,0.004741004304480849,-0.0015443209774079576,-0.00011590160736587595,-0.0006009369111148844,-0.00023789591196088684,0.00018271704625891656,-0.00010995602815750163,-0.0002996168881045832
1001,2.5009536078149552,2.4298355863854857,-0.6733005301666208,-1.228557260019579,0.6969036746807666,-0.08635369520654931,-0.07908317637953595,-0.5952012235611379,-0.5447648226578757,-0.48695836970377676,-0.20895637834052924,0.10751556146711863,0.3610732849841298,0.2428681741832671,-0.010137881898858019,-0.31299726373304315,-0.28481651010410114,-0.3225929000000151,-0.12035299546927702,0.00971055762378722
10010,-1.6152120075075211,-0.028437877306996002,0.32805756137976133,0.24149347981445682,0.08689347430049593,-0.16024449132440957,0.15227094194105992,-0.08953209683847298,0.1949673864491651,-0.12456223570897897,0.07489530498197497,-0.017282032039972264,0.0039002405843388804,-0.0006951301217902563,7.015298129290349e-05,-0.0004189276632388762,-0.00029073764028500796,-0.0004024589228317595,-7.949111491683016e-05,-0.00011892360276770839
10011,-1.8939696697474095,-0.5663193462026829,0.4588250834393927,-0.12574111389414602,0.2186187307362581,0.2734799469897356,-0.2380686308450789,-0.13801587693733422,0.061220582563747884,-0.012534188881207902,0.004975006896262928,-0.0017583846659385831,0.0005863208565741031,0.0001498830932362181,0.000571858597203495,-0.0006112737990009682,-0.00039686932502351927,-0.0001781708943565065,4.1910177792297754e-05,6.317058881015006e-05
